PAYER NAME,PAYER ID,TRANSACTION,AVAILABLE,NON PAR,ENROLLMENT,SECONDARY,ATTACHMENT,WC / AUTO,NOTES
AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company,36273,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company,36273,Remits 835,Yes,No,Yes,Yes,No,,
AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Company,36273,Professional Claims 837P,Yes,Yes,No,Yes,No,,
AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Company,36273,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
AARP Medicare Supplement Plans insured by UnitedHealthcare Insurance Company,36273,Remits 835,Yes,No,Yes,Yes,No,,
AARP MedicareComplete insured through UnitedHealthcare (formerly AARP MedicareComplete from SecureHorizons),87726,Dental Claims 837D,Yes,Yes,No,Yes,No,,
AARP MedicareComplete insured through UnitedHealthcare (formerly AARP MedicareComplete from SecureHorizons),87726,Professional Claims 837P,Yes,Yes,No,Yes,No,,
AARP MedicareComplete insured through UnitedHealthcare (formerly AARP MedicareComplete from SecureHorizons),87726,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
AARP MedicareComplete insured through UnitedHealthcare / Oxford Medicare Network -  AARP MedicareComplete,87726,Professional Claims 837P,Yes,Yes,No,Yes,No,,
AARP MedicareComplete insured through UnitedHealthcare / Oxford Medicare Network -  AARP MedicareComplete,87726,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
AARP MedicareComplete insured through UnitedHealthcare / Oxford Medicare Network -  AARP MedicareComplete,87726,Dental Claims 837D,Yes,Yes,No,Yes,No,,
AARP MedicareComplete insured through UnitedHealthcare / Oxford Mosaic Network - AARP MedicareComplete  Mosaic,87726,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
AARP MedicareComplete insured through UnitedHealthcare / Oxford Mosaic Network - AARP MedicareComplete  Mosaic,87726,Dental Claims 837D,Yes,Yes,No,Yes,No,,
AARP MedicareComplete insured through UnitedHealthcare / Oxford Mosaic Network - AARP MedicareComplete  Mosaic,87726,Professional Claims 837P,Yes,Yes,No,Yes,No,,
AARP MedicareComplete through UHC / Oxford Medicare Network,AARP-UHC-OMN,Eligibility 270 / 271,Yes,No,No,No,No,,
AARP MedicareComplete through UHC / Oxford Mosaic Network,AARP-UHC-OXMOS,Eligibility 270 / 271,Yes,No,No,No,No,,
ABC Const. Company,41556,Professional Claims 837P,Yes,Yes,No,No,No,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted."
AblePay Health,ABLEPAY,Eligibility 270 / 271,Yes,No,No,No,No,,
AblePay Health,ABLPY,Professional Claims 837P,Yes,Yes,No,No,No,,
AblePay Health,ABLPY,Institutional Claims 837I,Yes,Yes,No,No,No,,
ABRAZO Advantage Health Plan,03443,Professional Claims 837P,Yes,Yes,No,Yes,No,,
ABRAZO Advantage Health Plan,03443,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
Absolute Total Care (Centene),68069,Professional Claims 837P,Yes,Yes,No,Yes,No,,
Absolute Total Care (Centene),68069,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
Absolute Total Care (Centene),68069,Remits 835,Yes,No,Yes,Yes,No,,ERA enrollment forms will be listed under Centene Corporation.
Absolute Total Care (Centene),ABSOLUTE-TOTAL,Claim Status 276 / 277,Yes,No,No,No,No,,
Absolute Total Care (Centene),ABSOLUTE-TOTAL,Eligibility 270 / 271,Yes,No,No,No,No,,
Acadia Insurance,J1477,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted."
Access Administrators,AHS01,Professional Claims 837P,Yes,Yes,No,Yes,No,,
Access Administrators,AHS01,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
Access Behavioral Care,COACC,Professional Claims 837P,Yes,No,No,Yes,No,,
Access Community Health Network,ACCOM,Professional Claims 837P,Yes,Yes,No,No,No,,
Access Health Plans,91026,Institutional Claims 837I,Yes,Yes,No,No,No,,
Access Health Plans,91026,Professional Claims 837P,Yes,Yes,No,No,No,,
Access Integra,INTEG,Professional Claims 837P,Yes,Yes,No,No,No,,
Access IPA,ACC01,Institutional Claims 837I,Yes,No,No,Yes,Yes,,Payer returns ERA's automatically once electronic claim submission begins. 
Access IPA,ACC01,Professional Claims 837P,Yes,No,No,Yes,Yes,,Payer returns ERA's automatically once electronic claim submission begins. 
Access IPA,ACC01,Remits 835,Yes,No,Yes,Yes,No,,Payer returns ERA's automatically once electronic claim submission begins. 
Access Medical Group,AMG02,Professional Claims 837P,Yes,No,No,No,No,,
Access Medical Group,AMG02,Institutional Claims 837I,Yes,No,No,No,No,,
Access Medical Group,AMG02,Remits 835,Yes,No,Yes,No,No,,
Access Primary Care Medical Group (APCMG),NMM01,Institutional Claims 837I,Yes,No,No,Yes,Yes,,"Effective January 1, 2018."
Access Primary Care Medical Group (APCMG),NMM01,Remits 835,Yes,No,Yes,Yes,Yes,,
Access Primary Care Medical Group (APCMG),NMM01,Professional Claims 837P,Yes,No,No,Yes,Yes,,"Effective January 1, 2018."
Access Santa Monica,AMG02,Professional Claims 837P,Yes,No,No,No,No,,
Access Santa Monica,AMG02,Institutional Claims 837I,Yes,No,No,No,No,,
Access Santa Monica,AMG02,Remits 835,Yes,No,Yes,No,No,,
Access to Care Health Plan by Sendero,ACHP1,Institutional Claims 837I,Yes,Yes,No,No,No,,
Access to Care Health Plan by Sendero,ACHP1,Professional Claims 837P,Yes,Yes,No,No,No,,
Accident Fund,J1790,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted.


Payer returns ERAs automatically once electronic claim submission begins. No enrollment needed.
"
Acclaim,64071,Professional Claims 837P,Yes,Yes,No,Yes,No,,
Acclaim,64071,Remits 835,Yes,No,Yes,Yes,No,,
Acclaim IPA,IP095,Professional Claims 837P,Yes,No,No,Yes,No,,
Acclaim IPA,IP095,Institutional Claims 837I,Yes,No,No,Yes,No,,
Acclaim IPA (MHCAC),IP095,Professional Claims 837P,Yes,No,No,Yes,No,,
Acclaim IPA (MHCAC),IP095,Institutional Claims 837I,Yes,No,No,Yes,No,,
Accountable Healthcare IPA (AHCIPA),AHIPA,Professional Claims 837P,Yes,No,No,Yes,Yes,,"Effective 12/1/17, all Accountable Healthcare claims should be submitted to Payer ID AHIPA. Payer ID MPM23 and MPM24 have been discontinued. "
Accountable Healthcare IPA (AHCIPA),AHIPA,Institutional Claims 837I,Yes,No,No,Yes,Yes,,"Effective 12/1/17, all Accountable Healthcare claims should be submitted to Payer ID AHIPA. Payer ID MPM23 and MPM24 have been discontinued. "
Accuride Corporation,J1024,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted.

Payer returns ERAs automatically once electronic claim submission begins. No enrollment needed."
Ace Property & Casualty Ins Co,41556,Professional Claims 837P,Yes,Yes,No,No,No,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted."
Ace Property & Casualty Ins Co Medicare Supplement,96821,Remits 835,Yes,No,Yes,No,No,,ERA only payer - IAS Admin Payer.
ACIG Insurance Company,J1578,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp & Auto,"Workers Comp and Auto. At this time, only Professional (HCFA) claims are accepted."
"ACS Benefit Services, Inc.",72467,Professional Claims 837P,Yes,Yes,No,Yes,No,,
"ACS Benefit Services, Inc.",72467,Remits 835,Yes,No,Yes,Yes,No,,
ACTIN Care Groups / Clifton Health Systems,24585,Professional Claims 837P,Yes,No,No,Yes,No,,
ACTIN Care Groups / Clifton Health Systems,24585,Institutional Claims 837I,Yes,No,No,Yes,No,,
"Active Care, Inc",J3840,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp & Auto,"Workers Comp and Auto. At this time, only Professional (HCFA) claims are accepted.

Payer returns ERAs automatically once electronic claim submission begins. No enrollment needed."
ActivHealthCare,AHC01,Professional Claims 837P,Yes,No,No,No,No,,Payer returns ERAs automatically.
ActivHealthCare,AHC01,Remits 835,Yes,No,Yes,No,No,,Payer returns ERAs automatically.
Activia Benefit Services,38254,Professional Claims 837P,Yes,No,No,Yes,No,,
Activia Benefit Services,38254,Institutional Claims 837I,Yes,No,No,Yes,No,,
Activia Benefit Services,38254,Remits 835,Yes,No,Yes,Yes,No,,
"Acuity, A Mutual Insurance Company",J1240,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp & Auto,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted."
AD-COMP - CORVEL,J1667,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp & Auto,"Workers Comp and Auto. At this time, only Professional (HCFA) claims are accepted.
"
Adelanto Correctional Facility (CA) - CORVEL,J1798,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp & Auto,"Workers Comp and Auto. At this time, only Professional (HCFA) claims are accepted.
"
Admin One LLC,87871,Institutional Claims 837I,Yes,No,No,No,No,,
Admin One LLC,87871,Professional Claims 837P,Yes,No,No,No,No,,
Administaff,J1241,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted.

Payer returns ERAs automatically once electronic claim submission begins. No enrollment needed."
Administration Systems Research Corp,38265,Professional Claims 837P,Yes,Yes,No,Yes,No,,
Administration Systems Research Corp,38265,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
Administration Systems Research Health Benefits,38265,Professional Claims 837P,Yes,Yes,No,Yes,No,,
Administration Systems Research Health Benefits,38265,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
"Administrative Claim Service, Inc.",J1005,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted."
Administrative Concepts Inc.,22384,Remits 835,Yes,No,Yes,Yes,No,,
Administrative Concepts Inc.,22384,Professional Claims 837P,Yes,Yes,No,Yes,No,,
Administrative Concepts Inc.,22384,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
Administrative Concepts Inc.,ADMIN-CONCEPTS,Claim Status 276 / 277,Yes,No,No,No,No,,
Administrative Concepts Inc.,ADMIN-CONCEPTS,Eligibility 270 / 271,Yes,No,No,No,No,,
Administrative Services Inc,59141,Professional Claims 837P,Yes,Yes,No,Yes,No,,
Administrative Services Inc,59141,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
Administrative Services Inc,ADMIN-SERVICES,Eligibility 270 / 271,Yes,No,No,No,No,,
Advance America Cash Advance Centers - CORVEL,J1843,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp & Auto,"Workers Comp and Auto. At this time, only Professional (HCFA) claims are accepted.
"
"Advance Services, Inc.",J1608,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp & Auto,"Workers Comp and Auto. At this time, only Professional (HCFA) claims are accepted."
Advanced Medical Doctors of CA,AMDC1,Institutional Claims 837I,Yes,No,No,Yes,No,,
Advanced Medical Doctors of CA,AMDC1,Professional Claims 837P,Yes,No,No,Yes,No,,
Advanced Physicians IPA,NMM01,Professional Claims 837P,Yes,No,No,Yes,Yes,,
Advanced Physicians IPA,NMM01,Institutional Claims 837I,Yes,No,No,Yes,Yes,,
Advanced Physicians IPA,NMM01,Remits 835,Yes,No,Yes,Yes,No,,
Advanced Rehab Network	,J4440,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp & Auto,"Workers Comp and Auto. At this time, only Professional (HCFA) claims are accepted.
Payer returns ERAs automatically for Rejected Claims Only."
"Advanstaff, Inc.",74234,Professional Claims 837P,Yes,Yes,No,No,No,,
Advantage by Bridgeway Health Solutions,ADVBHS,Claim Status 276 / 277,Yes,No,No,No,No,,
Advantage by Bridgeway Health Solutions,ADVBHS,Eligibility 270 / 271,Yes,No,No,No,No,,
Advantage Care IPA,ACIPA,Professional Claims 837P,Yes,No,No,Yes,No,,
Advantage Care IPA,ACIPA,Institutional Claims 837I,Yes,No,No,Yes,No,,
Advantage Health Solutions (Careington),60601,Dental Claims 837D,Yes,No,No,No,No,,
Advantage Medical Group,NMM01,Institutional Claims 837I,Yes,No,No,Yes,Yes,,
Advantage Medical Group,NMM01,Remits 835,Yes,No,Yes,Yes,No,,
Advantage Medical Group,NMM01,Professional Claims 837P,Yes,No,No,Yes,Yes,,
Advantek Benefit Administrators (SANTE),ADVTK,Professional Claims 837P,Yes,No,No,Yes,No,,
Advantek Benefit Administrators (SANTE),ADVTK,Institutional Claims 837I,Yes,No,No,Yes,No,,
Advantek Benefit Administrators (SANTE),ADVTK,Remits 835,Yes,No,Yes,Yes,No,,
Advantica,43168,Dental Claims 837D,Yes,No,No,No,No,,
Advent Health Medical Corporation,AHMC1,Remits 835,Yes,No,No,No,No,,Payer returns ERAs automatically.
Advent Health Medical Corporation,AHMC1,Professional Claims 837P,Yes,No,No,No,Yes,,
Advent Health Medical Corporation,AHMC1,Institutional Claims 837I,Yes,No,No,No,Yes,,
"ADVENTIST HEALTH CARE NETWORK, INC",MPM51,Institutional Claims 837I,Yes,No,No,No,No,,
"ADVENTIST HEALTH CARE NETWORK, INC",MPM51,Professional Claims 837P,Yes,No,No,No,No,,
Adventist Health Hanford AHP,MPM36,Professional Claims 837P,Yes,No,No,No,No,,"Effective February 1, 2018."
Adventist Health Hanford AHP,MPM36,Institutional Claims 837I,Yes,No,No,No,No,,"Effective February 1, 2018."
Adventist Health Plan,MPM37,Institutional Claims 837I,Yes,No,No,No,No,,"Effective February 1, 2018. "
Adventist Health Plan,MPM37,Professional Claims 837P,Yes,No,No,No,No,,"Effective February 1, 2018. "
Adventist Health System,ADVENTIST,Eligibility 270 / 271,Yes,No,No,No,No,,
Adventist Health System West,95340,Remits 835,Yes,No,Yes,No,No,,"Roseville, California. "
Adventist Health System West,95340,Professional Claims 837P,Yes,Yes,No,Yes,No,,"Roseville, California. "
Adventist Health System West,95340,Institutional Claims 837I,Yes,Yes,No,Yes,No,,"Roseville, California. "
Adventist White Memorial - Southland San Gabriel Valley,MPM34,Institutional Claims 837I,Yes,No,No,No,No,,"Effective January 1, 2018. "
Adventist White Memorial - Southland San Gabriel Valley,MPM34,Professional Claims 837P,Yes,No,No,No,No,,"Effective January 1, 2018. "
Advisory Health Administrators,CB159,Professional Claims 837P,Yes,No,No,Yes,No,,
Advisory Health Administrators,CB159,Institutional Claims 837I,Yes,No,No,Yes,No,,
"Advocare MCO, Inc",J1896,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted.


Payer returns ERA's automatically once electronic claim submission begins. No enrollment needed."
Advocate Health Centers,36320,Institutional Claims 837I,Yes,No,No,Yes,No,,
Advocate Health Centers,36320,Professional Claims 837P,Yes,No,No,Yes,No,,
Advocate Health Partners,65093,Remits 835,Yes,Yes,No,No,No,,
Advocate Health Partners,65093,Professional Claims 837P,Yes,Yes,No,Yes,No,,
Advocate Health Partners,65093,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
Aegis Administrative Services,CB637,Institutional Claims 837I,Yes,No,No,No,No,,
Aegis Administrative Services,CB637,Professional Claims 837P,Yes,No,No,No,No,,
Aetna Advantage,60054,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Advantage,60054,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Advantage,60054,Dental Claims 837D,Yes,No,No,Yes,No,,
Aetna Advantage,60054,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Affordable Health Choices - SRC/Boone,60054,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Affordable Health Choices - SRC/Boone,60054,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Affordable Health Choices - SRC/Boone,60054,Dental Claims 837D,Yes,No,No,Yes,No,,
Aetna Affordable Health Choices - SRC/Boone,60054,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health California,ABH-CA,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Florida,128FL,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Florida,128FL,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Florida,128FL,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health Florida,ABH-FL,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Illinois,68024,Professional Claims 837P,Yes,Yes,No,Yes,No,,
Aetna Better Health Illinois,68024,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
Aetna Better Health Illinois,68024,Remits 835,Yes,Yes,Yes,No,No,,
Aetna Better Health Illinois,ABH-IL,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Illinois MMAI,26337,Dental Claims 837D,Yes,No,No,No,No,,
Aetna Better Health Illinois MMAI,26337,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health Illinois MMAI,26337,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Illinois MMAI,26337,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Kansas,128KS,Professional Claims 837P,Yes,No,No,Yes,No,,"Effective January 1, 2019. "
Aetna Better Health Kansas,128KS,Institutional Claims 837I,Yes,No,No,Yes,No,,"Effective January 1, 2019. "
Aetna Better Health Kansas,128KS,Remits 835,Yes,No,Yes,Yes,No,,"Effective January 1, 2019. "
Aetna Better Health Kansas,ABH-KS,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Kentucky,128KY,Professional Claims 837P,Yes,No,No,Yes,No,,Formerly CoventryCares of Kentucky (25133). 
Aetna Better Health Kentucky,128KY,Institutional Claims 837I,Yes,No,No,Yes,No,,Formerly CoventryCares of Kentucky (25133). 
Aetna Better Health Kentucky,128KY,Remits 835,Yes,No,Yes,Yes,No,,Formerly CoventryCares of Kentucky (25133). 
Aetna Better Health Kentucky,ABH-KY,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Louisiana,128LA,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Louisiana,128LA,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health Louisiana,128LA,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Louisiana,ABH-LA,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Maryland,128MD,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health Maryland,128MD,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Maryland,128MD,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Maryland,ABH-MD,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Michigan,128MI,Dental Claims 837D,Yes,No,No,No,No,,
Aetna Better Health Michigan,128MI,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Michigan,128MI,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Michigan,128MI,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health Michigan,ABH-MI,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Nevada,ABH-NV,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health New Jersey,46320,Dental Claims 837D,Yes,No,No,No,No,,
Aetna Better Health New Jersey,46320,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health New Jersey,46320,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health New Jersey,46320,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health New Jersey,ABH-NJ,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health New York,34734,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health New York,34734,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health New York,34734,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health New York,ABH-NY,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health of Oklahoma,128OK,Remits 835,Yes,No,Yes,No,No,,
Aetna Better Health Ohio,50023,Dental Claims 837D,Yes,No,No,No,No,,
Aetna Better Health Ohio,50023,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Ohio,50023,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Ohio,50023,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health Ohio,ABH-OH,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Oklahoma,128OK,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Oklahoma,128OK,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Oklahoma,ABH-OK,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Pennsylvania,23228,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Pennsylvania,23228,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health Pennsylvania,23228,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Pennsylvania,ABH-PA,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Texas,38692,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health Texas,38692,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Texas,38692,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Texas,ABH-TX,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Texas CHIP,ABH-TX-CHIP,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health Virginia,128VA,Dental Claims 837D,Yes,No,No,No,No,,
Aetna Better Health Virginia,128VA,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Better Health Virginia,128VA,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Better Health Virginia,128VA,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Better Health Virginia,ABH-VA,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Better Health West Virginia,128WV,Remits 835,Yes,No,Yes,Yes,No,,Formerly known as Coventry Healthcare of West Virginia (25133).  
Aetna Better Health West Virginia,128WV,Professional Claims 837P,Yes,No,No,Yes,No,,Formerly known as Coventry Healthcare of West Virginia (25133).  
Aetna Better Health West Virginia,128WV,Institutional Claims 837I,Yes,No,No,Yes,No,,Formerly known as Coventry Healthcare of West Virginia (25133).  
Aetna Better Health West Virginia,ABH-WV,Eligibility 270 / 271,Yes,No,No,No,No,,
Aetna Choice Plans,60054,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Choice Plans,60054,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Choice Plans,60054,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Choice Plans,60054,Dental Claims 837D,Yes,No,No,Yes,No,,
Aetna DMO,68246,Dental Claims 837D,Yes,No,No,No,No,,
Aetna Employee Assistance Program EAP,EAP20,Professional Claims 837P,Yes,No,No,No,No,,Payer does not offer ERA.
Aetna Encounters,60055,Professional Claims 837P,Yes,No,No,No,No,,
"Aetna Health, Inc.",60054,Institutional Claims 837I,Yes,No,No,Yes,No,,
"Aetna Health, Inc.",60054,Dental Claims 837D,Yes,No,No,Yes,No,,
"Aetna Health, Inc.",60054,Remits 835,Yes,No,Yes,Yes,No,,
"Aetna Health, Inc.",60054,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Healthcare,00002,Claim Status 276 / 277,Yes,No,No,No,No,,
Aetna Healthcare,60054,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna Healthcare,60054,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Healthcare,60054,Dental Claims 837D,Yes,No,No,Yes,No,,
Aetna Healthcare,60054,Remits 835,Yes,No,Yes,Yes,No,,"UB04, HCFA, ADA"
Aetna Healthcare,60054,Eligibility 270 / 271,Yes,No,Yes,No,No,,
Aetna HealthFund,60054,Professional Claims 837P,Yes,No,No,Yes,No,,
Aetna HealthFund,60054,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna HealthFund,60054,Dental Claims 837D,Yes,No,No,Yes,No,,
Aetna HealthFund,60054,Remits 835,Yes,No,Yes,Yes,No,,
Aetna Life & Casualty Company,60054,Institutional Claims 837I,Yes,No,No,Yes,No,,
Aetna Life & Casualty Company,60054,Dental Claims 837D,Yes,No,No,Yes,No,,
